Air pollution,Country,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rating,Rooms per person,Self-reported health,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
6.0,Norway,0.0,82.0,3.05,75.0,1.0,33393.0,16930.0,18.0,81.8,7.6,0.41,51718.0,93.0,7.498,2.0,76.0,496.0,15.56,78.0,97.0,18.0
5.0,Norway,0.0,82.0,3.17,74.0,0.6,35739.0,20347.0,17.0,82.4,7.5,0.59,53643.0,94.0,7.53700017929077,2.1,78.0,504.0,15.56,78.0,96.0,18.1
6.7,Norway,0.0,82.0,1.4,75.0,0.6,39144.0,268358.0,17.7,83.0,7.3,0.9,55780.0,96.0,7.594,2.1,75.0,497.0,15.67,78.0,98.0,18.0
26.0,Slovenia,0.4,84.0,5.72,64.0,0.4,19692.0,18912.0,20.0,80.1,6.0,4.23,33040.0,93.0,5.848,1.4,61.0,497.0,14.62,66.0,90.0,18.3
26.0,Slovenia,0.5,85.0,5.63,63.0,0.4,19326.0,18465.0,20.0,80.2,5.7,5.15,32037.0,90.0,5.848,1.5,65.0,499.0,14.62,52.0,88.0,18.4
14.0,Slovenia,0.6,86.0,5.5,64.0,0.4,19130.0,17271.0,19.0,80.4,5.7,5.27,33068.0,89.0,5.768,1.5,65.0,499.0,14.75,52.0,91.0,18.3
16.0,Slovenia,0.3,87.0,4.46,66.0,0.6,20505.0,20048.0,18.0,80.9,5.8,4.26,34965.0,91.0,5.75799989700317,1.5,65.0,509.0,14.75,52.0,89.0,18.1
17.0,Slovenia,0.2,90.0,5.6,71.0,0.4,25250.0,233286.0,18.2,81.6,6.5,1.9,41445.0,95.0,5.948,1.6,67.0,504.0,14.663333333333332,53.0,93.0,18.0
20.0,Switzerland,0.1,86.0,7.3,79.0,0.5,30745.0,100812.0,23.0,82.8,7.8,1.48,52307.0,94.0,7.587,1.9,81.0,515.0,14.98,49.0,95.0,17.1
20.0,Switzerland,0.0,86.0,6.72,80.0,0.5,33491.0,108823.0,22.0,82.8,7.5,1.46,54236.0,96.0,7.587,1.8,81.0,518.0,14.98,49.0,96.0,17.3
17.0,Switzerland,0.0,88.0,6.34,80.0,0.5,35952.0,120265.0,22.0,82.9,7.6,1.71,57082.0,93.0,7.509,1.8,81.0,518.0,15.01,48.0,97.0,17.4
15.0,Switzerland,0.0,87.0,6.91,80.0,0.5,36378.0,128415.0,21.0,83.0,7.5,1.94,60124.0,94.0,7.49399995803833,1.9,80.0,506.0,15.02,49.0,96.0,17.5
10.1,Switzerland,0.0,89.0,0.4,80.0,0.3,39697.0,119167.66666666667,21.4,84.0,7.5,1.7,64824.0,94.0,7.487,1.9,81.0,498.0,15.003333333333336,45.0,96.0,17.0
13.0,Australia,1.1,74.0,14.23,72.0,0.8,31197.0,38482.0,20.0,82.0,7.4,1.06,46585.0,93.0,7.284,2.3,85.0,514.0,14.41,93.0,93.0,18.8
13.0,Australia,1.1,76.0,14.02,72.0,0.8,31588.0,47657.0,20.0,82.1,7.3,1.08,50449.0,92.0,7.284,2.3,85.0,512.0,14.41,93.0,91.0,19.4
6.0,Australia,1.1,77.0,13.39,72.0,0.8,33138.0,48836.0,20.0,82.2,7.3,1.32,51148.0,95.0,7.313,2.3,85.0,512.0,14.35,93.0,94.0,19.2
5.0,Australia,1.1,80.0,13.2,72.0,1.0,33417.0,57462.0,20.0,82.5,7.3,1.36,52063.0,94.0,7.28399991989136,2.3,85.0,502.0,14.35,91.0,92.0,21.2
6.7,Australia,1.1,84.0,12.5,73.0,0.9,37433.0,528768.0,19.4,83.0,7.1,1.0,55206.0,93.0,7.272,2.3,85.0,499.0,14.36,92.0,92.0,20.0
9.0,Estonia,8.6,89.0,3.59,67.0,4.7,14382.0,7843.0,20.0,76.3,5.4,5.46,17488.0,89.0,5.429,1.6,52.0,523.0,14.9,64.0,80.0,17.5
9.0,Estonia,8.1,90.0,3.3,68.0,4.8,15167.0,7680.0,19.0,76.5,5.6,3.82,18944.0,89.0,5.429,1.5,54.0,526.0,14.9,64.0,79.0,17.5
9.0,Estonia,7.2,91.0,3.29,70.0,4.8,16565.0,15728.0,19.0,77.3,5.6,3.32,21020.0,90.0,5.517,1.6,53.0,526.0,14.9,64.0,84.0,17.8
8.0,Estonia,6.9,89.0,2.69,72.0,3.1,18665.0,16967.0,18.0,77.7,5.6,2.13,23621.0,90.0,5.61100006103516,1.6,51.0,524.0,14.9,64.0,82.0,15.8
5.9,Estonia,5.7,91.0,2.2,74.0,1.9,23784.0,188627.0,17.0,78.8,6.5,1.2,30720.0,95.0,5.739,1.7,57.0,526.0,14.98,64.0,86.0,18.0
21.0,Belgium,1.9,71.0,4.41,62.0,1.2,27811.0,78368.0,20.0,80.5,7.1,3.37,47276.0,91.0,6.937,2.3,74.0,507.0,15.71,89.0,84.0,18.8
21.0,Belgium,2.0,72.0,4.57,62.0,1.1,28307.0,83876.0,21.0,80.5,6.9,3.88,48082.0,94.0,6.937,2.2,74.0,509.0,15.71,89.0,87.0,18.9
19.0,Belgium,2.1,74.0,4.73,62.0,1.1,28700.0,89057.0,21.0,80.7,6.9,4.26,48093.0,88.0,6.929,2.2,74.0,509.0,15.77,89.0,83.0,18.8
15.0,Belgium,2.3,75.0,4.31,62.0,1.0,29968.0,104084.0,21.0,81.1,6.9,3.98,49587.0,92.0,6.89099979400635,2.2,75.0,503.0,15.77,89.0,84.0,18.2
12.8,Belgium,0.7,80.0,4.3,65.0,1.1,34884.0,447607.0,20.0,82.1,6.8,2.3,54327.0,90.0,6.927,2.1,74.0,500.0,15.52,88.0,79.0,19.0
12.0,France,0.5,72.0,8.71,64.0,0.8,29322.0,47668.0,21.0,82.2,6.7,3.98,38625.0,91.0,6.575,1.8,68.0,499.0,15.33,80.0,85.0,16.5
12.0,France,0.5,73.0,8.15,64.0,0.6,28799.0,48741.0,21.0,82.1,6.5,3.99,40242.0,87.0,6.575,1.8,67.0,500.0,15.33,80.0,82.0,16.4
14.0,France,0.5,75.0,7.77,64.0,0.6,29759.0,53851.0,21.0,82.3,6.4,4.21,40828.0,89.0,6.478,1.8,67.0,500.0,16.36,80.0,84.0,16.4
13.0,France,0.5,78.0,7.76,65.0,0.6,31137.0,59479.0,21.0,82.4,6.4,4.33,42992.0,88.0,6.44199991226196,1.8,68.0,496.0,16.36,75.0,82.0,16.5
11.4,France,0.5,81.0,7.7,65.0,0.4,34375.0,298639.0,20.7,82.9,6.7,2.9,45581.0,94.0,6.489,1.8,67.0,494.0,16.2,75.0,78.0,17.0
27.0,Greece,0.5,67.0,5.65,51.0,1.4,19095.0,14004.0,27.0,80.8,4.7,14.37,27434.0,68.0,4.857,1.2,76.0,468.0,14.91,62.0,66.0,18.6
27.0,Greece,0.7,68.0,6.16,49.0,1.6,18575.0,14579.0,25.0,80.7,4.8,18.39,25503.0,83.0,4.857,1.2,74.0,466.0,14.91,64.0,69.0,18.6
15.0,Greece,0.5,68.0,6.37,49.0,1.5,18099.0,17568.0,26.0,81.4,5.6,19.47,26436.0,83.0,5.033,1.2,74.0,466.0,14.74,64.0,69.0,18.5
